2019-03-18 16:47:19,109 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MavenAutomationProject:MavenAutomationProject:0.0.1 @ D:\TestAutomationWorkspace\CapitaPCSE_Automation\Automation_Project\pom.xml.
2019-03-19 09:41:51,623 [Worker-375] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:41:51,623 [Worker-375] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:48:51,217 [Worker-380] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:48:51,217 [Worker-380] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:48:51,217 [Worker-380] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:48:51,247 [Worker-380] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:49:15,391 [Worker-381] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:49:15,391 [Worker-381] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:49:15,391 [Worker-381] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:49:15,391 [Worker-381] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:51:51,218 [Worker-383] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:51:51,218 [Worker-383] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:51:51,218 [Worker-383] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:51:51,218 [Worker-383] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:53:51,052 [Worker-383] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:53:51,131 [Worker-383] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 09:53:51,132 [Worker-383] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 09:53:51,134 [Worker-383] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:41:57,732 [Worker-405] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:41:57,732 [Worker-405] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:41:57,748 [Worker-405] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:41:57,748 [Worker-405] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:44:01,538 [Worker-419] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:44:01,538 [Worker-419] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:44:01,538 [Worker-419] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:44:01,538 [Worker-419] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:45:53,941 [Worker-416] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:45:53,941 [Worker-416] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:45:53,941 [Worker-416] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:45:53,941 [Worker-416] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:49:42,522 [Worker-418] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:49:42,522 [Worker-418] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:49:42,522 [Worker-418] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:49:42,522 [Worker-418] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:52:42,556 [Worker-426] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:52:42,558 [Worker-426] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:52:42,559 [Worker-426] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:52:42,560 [Worker-426] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:55:19,540 [Worker-417] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:55:19,540 [Worker-417] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 10:55:19,540 [Worker-417] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 10:55:19,540 [Worker-417] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:15:59,558 [Worker-434] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:15:59,558 [Worker-434] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:15:59,558 [Worker-434] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:15:59,558 [Worker-434] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:32:25,947 [Worker-438] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:32:25,949 [Worker-438] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:32:25,951 [Worker-438] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:32:25,952 [Worker-438] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:32:35,267 [Worker-437] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:32:35,268 [Worker-437] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:32:35,272 [Worker-437] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:32:35,273 [Worker-437] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:43:04,553 [Worker-439] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:43:04,553 [Worker-439] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 11:43:04,553 [Worker-439] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 11:43:04,553 [Worker-439] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 14:54:13,085 [Worker-457] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 14:54:13,085 [Worker-457] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 14:54:13,085 [Worker-457] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-19 14:54:13,085 [Worker-457] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-19 16:00:26,107 [Worker-476] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/seleniumhq/selenium/selenium-api/3.0.1/selenium-api-3.0.1-sources.jar
